domain,service,method,payload_type,field_path,value_type,messages_seen
clubs/VIP/progression,AppClient,UpdateCharmsProgress,Casino.UpdateCharmsProgressRequest,progress_data.trading_info.trade_token_quantity,integer,2
clubs/VIP/progression,AppClient,UpdateFame,Casino.UpdateFameRequest,fame_delta.value,string,4
clubs/VIP/progression,AppClient,UpdateFame,Casino.UpdateFameRequest,legacy_fame_delta,string,4
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,Casino.UpdateLoyaltyRequest,can_collect_points,boolean,5
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,Casino.UpdateLoyaltyRequest,is_keep_status_reached,boolean,5
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,Casino.UpdateLoyaltyRequest,loyalty_points_balance,string,5
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,Casino.UpdateLoyaltyRequest,tier,string,5
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,collection_event_state.collected_items,string,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,collection_event_state.event_completed,boolean,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,collection_event_state.event_id,string,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,collection_event_state.item_bar_progression,string,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,collection_event_state.item_bar_progression_cap,string,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,collection_event_state.milestone_completed,boolean,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,collection_event_state.milestone_idx,integer,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,econ_stats.stat[].key,integer,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,econ_stats.stat[].value_double,number,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,econ_stats.stat[].value_int,string,29
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,level,string,6
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].big_chips_delta.value,string,5
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].charms_trade_token_delta,integer,1
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].chips_delta,string,5
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box.box_id,integer,1
