domain,service,method,rpc_type,direction,payload_type,count,decoded_count,undecoded_count,first_seen,last_seen,payload_bytes_total,payload_bytes_min,payload_bytes_max
clubs/VIP/progression,AppClient,UpdateCharmsProgress,REQUEST,in,Casino.UpdateCharmsProgressRequest,2,2,0,2026-08-25T18:27:14.129,2026-08-25T18:27:15.696,12,6,6
clubs/VIP/progression,AppClient,UpdateFame,REQUEST,in,Casino.UpdateFameRequest,4,4,0,2026-08-25T18:24:59.896,2026-08-25T18:26:52.997,30,7,9
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,REQUEST,in,Casino.UpdateLoyaltyRequest,5,5,0,2026-08-25T18:24:45.988,2026-08-25T18:27:14.213,45,9,9
clubs/VIP/progression,AppClient,UpdateProgress,REQUEST,in,Casino.UpdateProgressRequest,59,59,0,2026-08-25T18:24:36.332,2026-08-25T18:27:14.246,11087,7,438
offers/economy,AppClient,ConfirmFreeGiftRound,REQUEST,in,Casino.ConfirmFreeGiftRoundRequest,1,1,0,2026-08-25T18:26:53.012,2026-08-25T18:26:53.012,8,8,8
offers/economy,AppClient,ConfirmFreeGiftRound,RESPONSE,out,Casino.ConfirmFreeGiftRoundResponse,1,1,0,2026-08-25T18:27:10.695,2026-08-25T18:27:10.695,2,2,2
offers/economy,AppClient,OfferTrailUpdate,REQUEST,in,Casino.OfferTrail.UpdateRequest,1,1,0,2026-08-25T18:25:05.578,2026-08-25T18:25:05.578,2607,2607,2607
offers/economy,AppClient,UpdateGift,REQUEST,in,Casino.UpdateGiftRequest,1,1,0,2026-08-25T18:27:10.963,2026-08-25T18:27:10.963,60,60,60
offers/economy,AppClient,UpdateShop,REQUEST,in,Casino.UpdateShopRequest,12,12,0,2026-08-25T18:24:46.168,2026-08-25T18:27:16.746,33212,1485,3409
offers/economy,AppClient,UpdateShop,RESPONSE,out,Casino.UpdateShopResponse,12,12,0,2026-08-25T18:24:46.178,2026-08-25T18:27:16.750,204,17,17
offers/economy,AppServer,ClaimRewardBundleBulk,REQUEST,out,Casino.ClaimRewardBundleBulkRequest,1,1,0,2026-08-25T18:24:22.414,2026-08-25T18:24:22.414,89,89,89
offers/economy,AppServer,ClaimRewardBundleBulk,RESPONSE,in,Casino.ClaimRewardBundleBulkResponse,1,1,0,2026-08-25T18:24:22.696,2026-08-25T18:24:22.696,528,528,528
offers/economy,AppServer,CollectFreeDiamonds,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-08-25T18:27:31.579,2026-08-25T18:27:31.579,0,0,0
offers/economy,AppServer,CollectFreeDiamonds,RESPONSE,in,Casino.CollectFreeDiamondsResponse,1,1,0,2026-08-25T18:27:31.845,2026-08-25T18:27:31.845,2,2,2
offers/economy,AppServer,CollectMysteryReward,REQUEST,out,Casino.EmptyRequest,5,5,0,2026-08-25T18:24:47.877,2026-08-25T18:27:15.447,0,0,0
offers/economy,AppServer,CollectMysteryReward,RESPONSE,in,Casino.CollectMysteryRewardResponse,5,5,0,2026-08-25T18:24:48.129,2026-08-25T18:27:15.713,212,2,204
offers/economy,AppServer,CollectShopBonus,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-08-25T18:25:57.130,2026-08-25T18:25:57.130,0,0,0
offers/economy,AppServer,CollectShopBonus,RESPONSE,in,Casino.CollectShopBonusResponse,1,1,0,2026-08-25T18:25:57.394,2026-08-25T18:25:57.394,16,16,16
offers/economy,AppServer,DiscardPersonalOffer,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-08-25T18:26:22.463,2026-08-25T18:26:22.463,0,0,0
offers/economy,AppServer,MakeInAppPurchase,REQUEST,out,Casino.MakeInAppPurchaseRequest,2,2,0,2026-08-25T18:27:47.473,2026-08-25T18:27:49.884,124,48,76
offers/economy,AppServer,MakeInAppPurchase,RESPONSE,in,Casino.MakeInAppPurchaseResponse,2,2,0,2026-08-25T18:27:47.746,2026-08-25T18:27:50.164,40,2,38
offers/economy,AppServer,StartPersonalOffer,REQUEST,out,Casino.StartPersonalOfferRequest,1,1,0,2026-08-25T18:26:20.922,2026-08-25T18:26:20.922,968,968,968
offers/economy,AppServer,StartPersonalOffer,RESPONSE,in,Casino.StartPersonalOfferResponse,1,1,0,2026-08-25T18:26:21.212,2026-08-25T18:26:21.212,2,2,2
offers/economy,AppServer,TriggerDirectPurchaseOffer,REQUEST,out,Casino.TriggerDirectPurchaseOfferRequest,2,2,0,2026-08-25T18:25:50.930,2026-08-25T18:26:06.472,1828,860,968
offers/economy,AppServer,TriggerDirectPurchaseOffer,RESPONSE,in,Casino.TriggerDirectPurchaseOfferResponse,2,2,0,2026-08-25T18:25:51.230,2026-08-25T18:26:06.762,4,2,2
other/unknown,AppClient,AddDciEvent,REQUEST,in,Casino.AddDciEventRequest,5,5,0,2026-08-25T18:24:45.952,2026-08-25T18:27:14.179,20385,4077,4077
other/unknown,AppClient,LikeNotify,REQUEST,in,Casino.LikeNotifyRequest,1,1,0,2026-08-25T18:24:43.046,2026-08-25T18:24:43.046,12,12,12
other/unknown,AppClient,SendAdditionalData,REQUEST,in,Casino.AdditionalDataRequest,46,46,0,2026-08-25T18:24:45.936,2026-08-25T18:27:17.048,8706,151,326
other/unknown,AppClient,UpdateAnnouncements,REQUEST,in,Casino.UpdateAnnouncementsRequest,7,7,0,2026-08-25T18:25:05.079,2026-08-25T18:25:05.361,2242,299,333
other/unknown,AppServer,CollectHourlyBonus,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-08-25T18:26:01.412,2026-08-25T18:26:01.412,0,0,0
other/unknown,AppServer,CollectHourlyBonus,RESPONSE,in,Casino.CollectHourlyBonusResponse,1,1,0,2026-08-25T18:26:01.878,2026-08-25T18:26:01.878,13,13,13
other/unknown,AppServer,FocusChange,REQUEST,out,Casino.FocusChangeRequest,2,2,0,2026-08-25T18:27:47.808,2026-08-25T18:27:49.859,4,2,2
other/unknown,AppServer,LikePlayer,REQUEST,out,Casino.LikePlayerRequest,1,1,0,2026-08-25T18:24:42.770,2026-08-25T18:24:42.770,5,5,5
other/unknown,AppServer,LikePlayer,RESPONSE,in,Casino.LikePlayerResponse,1,1,0,2026-08-25T18:24:43.030,2026-08-25T18:24:43.030,8,8,8
other/unknown,AppServer,QueryPlayer,REQUEST,out,Casino.QueryPlayerRequest,1,1,0,2026-08-25T18:24:41.501,2026-08-25T18:24:41.501,5,5,5
other/unknown,AppServer,QueryPlayer,RESPONSE,in,Casino.QueryPlayerResponse,1,1,0,2026-08-25T18:24:41.764,2026-08-25T18:24:41.764,619,619,619
other/unknown,AppServer,ResetUserInactivity,REQUEST,out,Casino.ResetUserInactivityRequest,140,140,0,2026-08-25T18:24:10.151,2026-08-25T18:27:20.763,280,2,2
other/unknown,AppServer,SyncTime,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-08-25T18:27:49.862,2026-08-25T18:27:49.862,0,0,0
other/unknown,AppServer,SyncTime,RESPONSE,in,Casino.SyncTimeResponse,1,1,0,2026-08-25T18:27:50.129,2026-08-25T18:27:50.129,9,9,9
