module_id,record_kind,proto_file,message_type,field_number,field_name,field_path,cardinality,field_type,semantic_role,evidence_status,live_message_count,live_occurrence_count,live_nonempty_count,live_distinct_count,variability,source_session
adventure,schema_field,Adventure.proto,Casino.ActiveMissions,2,mission,mission,repeated,Casino.Mission,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.ActiveMissions,1,slot_name,slot_name,optional,string,other,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureActivePhaseRequest,1,theme_id,theme_id,required,int32,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureActivePhaseResponse,5,adventure_phase_state,adventure_phase_state,optional,Casino.AdventurePhaseState,progression/state,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureActivePhaseResponse,4,difficulties,difficulties,optional,Casino.DifficultyList,other,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureActivePhaseResponse,3,error_code,error_code,optional,int32,other,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureActivePhaseResponse,2,phase_id,phase_id,optional,int32,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureActivePhaseResponse,6,phase_locked,phase_locked,optional,Casino.PhaseLocked,progression/state,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureActivePhaseResponse,7,show_intro,show_intro,optional,bool,other,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureActivePhaseResponse,1,status,status,required,Casino.AdventureActivePhaseResponse.Status,progression/state,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureBackground,2,background_id,background_id,required,int32,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureBackground,1,phase_id,phase_id,required,int32,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureDifficultyRequest,2,difficulty_id,difficulty_id,required,int32,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureDifficultyRequest,1,theme_id,theme_id,required,int32,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureMissionUpdateRequest,3,mission,mission,optional,Casino.Mission,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureMissionUpdateRequest,2,slot_name,slot_name,optional,string,other,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventureMissionUpdateRequest,1,theme_id,theme_id,optional,int32,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventurePhaseState,4,difficulty_id,difficulty_id,optional,int32,entity/id,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventurePhaseState,1,milestone,milestone,repeated,Casino.Milestone,other,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventurePhaseState,2,pending_reward,pending_reward,optional,Casino.MilestoneReward,reward/output,schema-only,0,,,,not-observed,
adventure,schema_field,Adventure.proto,Casino.AdventurePhaseState,3,skip_balance,skip_balance,optional,int64,currency/balance,schema-only,0,,,,not-observed,
