session_alias,metric,dimension,value,unit,claim_type,evidence_source,evidence_level,endpoint,field_path,sample_count,limits
LOT-20260827-A,free_ticket_threshold,ALL,7,ticket units,Confirmed,Observed-live,L3,AppServer.LotteryToss,state.free_ticket_state.threshold,346,constant in this Session
LOT-20260827-A,free_ticket_initial_progress,ALL,1,progress,Confirmed,Static-config,L2,AppClient.AddDciEvent,lottery.free_ticket.progress,73,single account/build
LOT-20260827-A,free_ticket_final_progress,ALL,3,progress,Confirmed,Observed-live,L3,AppServer.LotteryToss,state.free_ticket_state.progress,346,single account/build
LOT-20260827-A,free_ticket_granted,BRONZE,133,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,state.free_ticket_state.ticket_collected[],346,grant is usage-threshold based in this Session
LOT-20260827-A,bulk_play_cap,ALL,2000,ticket units,Confirmed,Static-config,L2,AppClient.AddDciEvent,lottery.bulk_play_cap,73,configured cap; observed maximum may be lower
LOT-20260827-A,observed_max_batch,ALL,350,ticket units,Confirmed,Observed-live,L3,AppServer.LotteryToss,data.ticket_number,346,single account/session
LOT-20260827-A,board_completions,ALL,5,boards,Confirmed,Observed-live,L3,AppServer.LotteryToss,state.puzzle_board_completed_reward[],346,starting board state and full activity cycle are not known
LOT-20260827-A,ticket_initial_balance,BRONZE,2,tickets,Confirmed,Static-config,L2,AppClient.AddDciEvent,lottery.ticket_balance[],73,sanitized start snapshot
LOT-20260827-A,ticket_acquired_purchase,BRONZE,588,tickets,Confirmed,Observed-live + Manual,L3,AppServer.MakeInAppPurchase,local_price; local_currency_code; lottery_ticket_color; rewards_data.reward[].inventory_delta,1,price and bundle composition are in PURCHASES.csv; bundle also grants loyalty points
LOT-20260827-A,ticket_acquired_free_threshold,BRONZE,133,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,state.free_ticket_state.ticket_collected[],346,only BRONZE was observed
LOT-20260827-A,ticket_acquired_lottery_reward,BRONZE,58,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[].inventory_delta,346,gross immediate source; may originate from paid or earned toss inputs
LOT-20260827-A,ticket_acquired_upgrade_linked,BRONZE,16,tickets,Estimate,Observed-live + Manual,L3,AppClient.UpdateProgress + AppClient.AddDciEvent,level; lottery.ticket_balance[],6,repeated temporal/state reconciliation; no explicit ticket grant field in UpdateProgress
LOT-20260827-A,ticket_spent,BRONZE,756,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,data.ticket_color; data.ticket_number,346,request/response pairs all status OK
LOT-20260827-A,ticket_final_balance,BRONZE,41,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,state.ticket_balance[],346,sanitized end snapshot
LOT-20260827-A,ticket_initial_balance,SILVER,0,tickets,Confirmed,Static-config,L2,AppClient.AddDciEvent,lottery.ticket_balance[],73,sanitized start snapshot
LOT-20260827-A,ticket_acquired_purchase,SILVER,60,tickets,Confirmed,Observed-live + Manual,L3,AppServer.MakeInAppPurchase,local_price; local_currency_code; lottery_ticket_color; rewards_data.reward[].inventory_delta,1,price and bundle composition are in PURCHASES.csv; bundle also grants loyalty points
LOT-20260827-A,ticket_acquired_free_threshold,SILVER,0,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,state.free_ticket_state.ticket_collected[],346,only BRONZE was observed
LOT-20260827-A,ticket_acquired_lottery_reward,SILVER,0,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[].inventory_delta,346,gross immediate source; may originate from paid or earned toss inputs
LOT-20260827-A,ticket_acquired_upgrade_linked,SILVER,0,tickets,Estimate,Observed-live + Manual,L3,AppClient.UpdateProgress + AppClient.AddDciEvent,level; lottery.ticket_balance[],6,repeated temporal/state reconciliation; no explicit ticket grant field in UpdateProgress
LOT-20260827-A,ticket_spent,SILVER,60,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,data.ticket_color; data.ticket_number,346,request/response pairs all status OK
LOT-20260827-A,ticket_final_balance,SILVER,0,tickets,Confirmed,Observed-live,L3,AppServer.LotteryToss,state.ticket_balance[],346,sanitized end snapshot
LOT-20260827-A,ticket_initial_balance,GOLD,0,tickets,Confirmed,Static-config,L2,AppClient.AddDciEvent,lottery.ticket_balance[],73,sanitized start snapshot
