session_alias,ticket_color,reward_category,reward_objects,quantity_sum,normalized_chip_sum_b0,normalized_chip_min_b0,normalized_chip_median_b0,normalized_chip_mean_b0,normalized_chip_max_b0,source_kind,claim_type,evidence_source,evidence_level,endpoint,field_path,sample_count,limits
LOT-20260827-A,BLACK,charms_token,2,1100,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BLACK,chips,34,,79066.666667,400.0,2000.0,2325.490196,10000.0,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BLACK,puzzle_progress,1,1,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BLACK,ticket_item,1,2,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BRONZE,board_completion_chips,4,,10666.666667,2666.666667,2666.666667,2666.666667,2666.666667,conditional,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BRONZE,chips,151,,2209.386667,0.533333,2.133333,14.6317,1033.28,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BRONZE,collectible_box,2,2,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BRONZE,puzzle_progress,9,17,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BRONZE,ticket_item,14,58,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,BRONZE,time_boost,1,1,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,GOLD,board_completion_chips,1,,853333.333333,853333.333333,853333.333333,853333.333333,853333.333333,conditional,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,GOLD,chips,74,,43973.333333,26.666667,333.333333,594.234234,3466.666667,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,GOLD,collectible_box,1,1,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,GOLD,puzzle_progress,3,3,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,GOLD,ticket_item,0,0,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,GOLD,time_boost,1,1,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,SILVER,chips,59,,17784.533333,19.2,160.0,301.432768,3200.0,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,SILVER,collectible_box,1,1,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
LOT-20260827-A,SILVER,ticket_item,0,0,,,,,,random_or_pool_based,Confirmed,Observed-live,L3,AppServer.LotteryToss,lottery_reward.reward[]; state.puzzle_board_completed_reward[],346,reward weights are not exposed; values are normalized by the minimum observed paid-spin bet B0
